license_plate,frame_number,color_verified,date
60225702,18,True,2024-06-29 22:20:02
7506965,6,True,2024-06-29 22:20:04
71916203,42,True,2024-06-29 22:20:07
39304902,240,False,2024-06-29 22:20:10
50164603,198,True,2024-06-29 22:20:11
88150002,306,True,2024-06-29 22:20:13
4188078,468,True,2024-06-29 22:20:16
6100934,468,False,2024-06-29 22:20:18
1170068,474,True,2024-06-29 22:20:20
