                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91607,                 111.12,                 0.5196,                      0,                      0,                      0,                      0,                0.02321,                 132.07,                0.01315,                  2e-05,                  2e-05,                  2e-05
                      2,                0.36625,                 107.85,                0.21514,                      0,                      0,                      0,                      0,                 0.0231,                 132.17,                 0.0131,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                  1.085,                 106.37,                0.62194,                      0,                      0,                      0,                      0,                0.02299,                 132.21,                0.01304,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 0.7399,                 104.87,                0.44927,                      0,                      0,                      0,                      0,                0.02287,                  132.2,                0.01298,             0.00013584,             0.00013584,             0.00013584
                      5,                0.54941,                 102.37,                0.31372,                      0,                      0,                      0,                      0,                0.02273,                 132.13,                0.01291,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.1643,                 99.654,                0.72875,                      0,                      0,                      0,                      0,                0.02252,                 131.99,                 0.0128,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.8236,                 97.898,                 1.5441,                      0,                      0,                      0,                      0,                0.02221,                 131.79,                0.01263,             0.00024456,             0.00024456,             0.00024456
                      8,                0.52135,                 92.857,                0.29014,                      0,                      0,                      0,                      0,                0.02179,                 131.61,                0.01242,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.2325,                  88.68,                0.64376,                      0,                      0,                      0,                      0,                0.02156,                 131.58,                 0.0123,             0.00031307,             0.00031307,             0.00031307
                     10,                 2.9198,                 87.746,                 1.4544,                      0,                      0,                      0,                      0,                0.02109,                 131.54,                0.01205,             0.00034614,             0.00034614,             0.00034614
                     11,                  3.239,                 86.107,                 1.7017,                      0,                      0,                      0,                      0,                0.02055,                 131.43,                0.01177,             0.00037842,             0.00037842,             0.00037842
                     12,                 3.3756,                 83.658,                 1.5624,                      0,                      0,                      0,                      0,                0.01993,                 131.11,                0.01145,             0.00040991,             0.00040991,             0.00040991
                     13,                  3.681,                 80.747,                 1.8631,                      0,                      0,                      0,                      0,                 0.0192,                 130.42,                0.01106,              0.0004406,              0.0004406,              0.0004406
                     14,                 4.0899,                   73.2,                 2.3974,                      0,                      0,                      0,                      0,                 0.0184,                  129.4,                0.01064,              0.0004705,              0.0004705,              0.0004705
                     15,                 5.3411,                 35.482,                 2.8925,                      0,                      0,                      0,                      0,                0.01746,                 127.59,                0.01013,             0.00049961,             0.00049961,             0.00049961
                     16,                 5.2967,                 69.931,                  2.717,                      0,                      0,                      0,                      0,                0.01642,                 124.95,                0.00958,             0.00052793,             0.00052793,             0.00052793
                     17,                 5.1832,                 68.672,                  2.995,                      0,                      0,                      0,                      0,                0.01548,                 121.49,                0.00907,             0.00055546,             0.00055546,             0.00055546
                     18,                 5.1022,                 39.813,                  3.456,                      0,                      0,                      0,                      0,                0.01449,                 116.86,                0.00854,             0.00058219,             0.00058219,             0.00058219
                     19,                 4.8863,                  60.94,                 2.3673,                      0,                      0,                      0,                      0,                0.01334,                  111.4,                 0.0079,             0.00060813,             0.00060813,             0.00060813
                     20,                 5.3554,                 51.683,                 2.8352,                      0,                      0,                      0,                      0,                0.01204,                 104.92,                0.00718,             0.00063328,             0.00063328,             0.00063328
                     21,                 4.8069,                 51.144,                 2.1563,                      0,                      0,                      0,                      0,                0.01059,                  95.35,                0.00636,             0.00065764,             0.00065764,             0.00065764
                     22,                 5.3224,                  31.66,                 2.2779,                      0,                      0,                      0,                      0,                0.00917,                 86.131,                0.00555,             0.00068121,             0.00068121,             0.00068121
                     23,                 4.9932,                 23.108,                 2.4868,                      0,                      0,                      0,                      0,                0.00798,                 77.594,                0.00486,             0.00070398,             0.00070398,             0.00070398
                     24,                 4.5045,                 14.501,                 2.0841,                      0,                      0,                      0,                      0,                 0.0069,                 74.044,                0.00424,             0.00072596,             0.00072596,             0.00072596
                     25,                 4.6006,                 14.193,                 2.1618,                      0,                      0,                      0,                      0,                0.00618,                 71.486,                0.00382,             0.00074715,             0.00074715,             0.00074715
                     26,                 5.0379,                 16.825,                 2.3181,                      0,                      0,                      0,                      0,                0.00545,                  68.23,                 0.0034,             0.00076755,             0.00076755,             0.00076755
                     27,                  4.417,                 10.127,                 2.1047,                      0,                      0,                      0,                      0,                0.00479,                 65.063,                0.00302,             0.00078716,             0.00078716,             0.00078716
                     28,                 4.1375,                  9.765,                 1.8774,                      0,                      0,                      0,                      0,                0.00479,                 65.063,                0.00302,             0.00080597,             0.00080597,             0.00080597
                     29,                 4.8142,                  9.563,                 2.0141,                      0,                      0,                      0,                      0,                0.00441,                 61.712,                0.00281,             0.00082399,             0.00082399,             0.00082399
                     30,                 4.2706,                 9.0768,                 1.8245,                      0,                      0,                      0,                      0,                0.00427,                 60.135,                0.00273,             0.00084122,             0.00084122,             0.00084122
                     31,                 4.1062,                 6.7783,                 1.8006,                      0,                      0,                      0,                      0,                0.00427,                 60.135,                0.00273,             0.00085766,             0.00085766,             0.00085766
                     32,                 4.3252,                 8.1325,                 1.7558,                      0,                      0,                      0,                      0,                0.00433,                 63.275,                0.00278,             0.00087331,             0.00087331,             0.00087331
                     33,                 3.9964,                 5.7276,                 1.6478,                      0,                      0,                      0,                      0,                0.00439,                 66.757,                0.00281,             0.00088816,             0.00088816,             0.00088816
                     34,                 4.2408,                 5.5607,                 1.8822,                      0,                      0,                      0,                      0,                0.00439,                 66.757,                0.00281,             0.00090222,             0.00090222,             0.00090222
                     35,                 3.8982,                  6.205,                 1.6774,                      0,                      0,                      0,                      0,                0.00391,                 69.485,                0.00254,             0.00091549,             0.00091549,             0.00091549
                     36,                   4.03,                 5.9732,                 1.8655,                      0,                      0,                      0,                      0,                0.00354,                 72.426,                0.00235,             0.00092797,             0.00092797,             0.00092797
                     37,                  3.921,                 5.1767,                 1.5944,                      0,                      0,                      0,                      0,                0.00354,                 72.426,                0.00235,             0.00093966,             0.00093966,             0.00093966
                     38,                 3.6215,                 5.2415,                 1.6523,                      0,                      0,                      0,                      0,                0.00334,                 75.994,                0.00226,             0.00095055,             0.00095055,             0.00095055
                     39,                 3.6222,                 4.5217,                 1.5835,                      0,                      0,                      0,                      0,                0.00325,                 78.843,                0.00222,             0.00096065,             0.00096065,             0.00096065
                     40,                 3.6113,                 4.4329,                 1.5909,                      0,                      0,                      0,                      0,                0.00325,                 78.843,                0.00222,             0.00096996,             0.00096996,             0.00096996
                     41,                 3.8745,                 4.4937,                  1.529,                      0,                      0,                      0,                      0,                0.00348,                 82.264,                0.00237,             0.00097848,             0.00097848,             0.00097848
                     42,                 3.4698,                 4.2858,                 1.5765,                      0,                      0,                      0,                      0,                0.00388,                 85.595,                0.00261,             0.00098621,             0.00098621,             0.00098621
                     43,                 3.5577,                 4.4844,                  1.584,                      0,                      0,                      0,                      0,                0.00388,                 85.595,                0.00261,             0.00099314,             0.00099314,             0.00099314
                     44,                  3.492,                 4.8316,                 1.4706,                      0,                      0,                      0,                      0,                0.00412,                 86.835,                0.00276,             0.00099928,             0.00099928,             0.00099928
                     45,                 3.5665,                 3.9005,                 1.6505,                      0,                      0,                      0,                      0,                0.00412,                 86.835,                0.00276,              0.0010046,              0.0010046,              0.0010046
