                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 4.3162,                 6.8319,                 1.8664,                      0,                      0,                      0,                      0,                0.00396,                 75.192,                0.00258,              0.0003813,              0.0003813,              0.0003813
                     40,                 3.5143,                  6.193,                 1.6533,                      0,                      0,                      0,                      0,                0.00396,                 75.192,                0.00258,             0.00035992,             0.00035992,             0.00035992
                     41,                  3.774,                 6.4132,                 1.7275,                      0,                      0,                      0,                      0,                0.00398,                 79.396,                 0.0026,             0.00033696,             0.00033696,             0.00033696
                     42,                 3.5372,                 5.9366,                 1.9617,                      0,                      0,                      0,                      0,                0.00397,                 82.521,                0.00261,             0.00031241,             0.00031241,             0.00031241
                     43,                 3.8078,                 5.8297,                 1.6573,                      0,                      0,                      0,                      0,                0.00397,                 82.521,                0.00261,             0.00028628,             0.00028628,             0.00028628
                     44,                 3.8771,                 6.3103,                 1.8031,                      0,                      0,                      0,                      0,                0.00402,                 84.443,                0.00263,             0.00025856,             0.00025856,             0.00025856
                     45,                 3.7731,                 5.6119,                 1.8602,                      0,                      0,                      0,                      0,                0.00402,                 84.443,                0.00263,             0.00022926,             0.00022926,             0.00022926
                     46,                 3.6419,                 5.8794,                 1.7017,                      0,                      0,                      0,                      0,                0.00398,                 84.927,                0.00262,             0.00019838,             0.00019838,             0.00019838
                     47,                 3.5763,                 5.5657,                 1.7149,                      0,                      0,                      0,                      0,                0.00398,                 84.927,                0.00262,             0.00016591,             0.00016591,             0.00016591
                     48,                 3.4929,                 5.3893,                 1.6492,                      0,                      0,                      0,                      0,                0.00393,                 84.287,                0.00258,             0.00013186,             0.00013186,             0.00013186
                     49,                 3.5842,                 5.1654,                 1.6749,                      0,                      0,                      0,                      0,                0.00393,                 84.287,                0.00258,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 3.4254,                 5.0866,                 1.7963,                      0,                      0,                      0,                      0,                 0.0039,                 83.544,                0.00256,             5.9004e-05,             5.9004e-05,             5.9004e-05
