                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91607,                 111.12,                 0.5196,                      0,                      0,                      0,                      0,                0.02321,                 132.07,                0.01315,                  2e-05,                  2e-05,                  2e-05
                      2,                0.36622,                 107.87,                0.21513,                      0,                      0,                      0,                      0,                 0.0231,                 132.17,                 0.0131,             5.7624e-05,             5.7624e-05,             5.7624e-05
                      3,                 1.0844,                 106.38,                0.62151,                      0,                      0,                      0,                      0,                0.02299,                 132.22,                0.01304,              9.208e-05,              9.208e-05,              9.208e-05
                      4,                0.74003,                 104.97,                0.44259,                      0,                      0,                      0,                      0,                0.02287,                 132.23,                0.01298,             0.00012337,             0.00012337,             0.00012337
                      5,                 0.5554,                 102.69,                0.31732,                      0,                      0,                      0,                      0,                0.02274,                 132.17,                0.01291,             0.00015149,             0.00015149,             0.00015149
                      6,                 1.0386,                 100.15,                 0.6246,                      0,                      0,                      0,                      0,                0.02254,                 132.05,                0.01281,             0.00017644,             0.00017644,             0.00017644
                      7,                 2.8821,                 98.957,                 1.5559,                      0,                      0,                      0,                      0,                0.02225,                 131.91,                0.01266,             0.00019822,             0.00019822,             0.00019822
                      8,                0.56372,                 94.523,                  0.328,                      0,                      0,                      0,                      0,                0.02188,                 131.77,                0.01247,             0.00021684,             0.00021684,             0.00021684
                      9,                 1.2244,                 91.163,                0.65318,                      0,                      0,                      0,                      0,                0.02167,                 131.71,                0.01236,             0.00023229,             0.00023229,             0.00023229
                     10,                  2.021,                 90.241,                 1.0756,                      0,                      0,                      0,                      0,                0.02127,                 131.68,                0.01215,             0.00024457,             0.00024457,             0.00024457
                     11,                 2.7942,                 88.831,                 1.4561,                      0,                      0,                      0,                      0,                0.02081,                 131.66,                0.01191,             0.00025368,             0.00025368,             0.00025368
                     12,                 2.9872,                 87.291,                 1.4505,                      0,                      0,                      0,                      0,                0.02032,                 131.57,                0.01165,             0.00025962,             0.00025962,             0.00025962
                     13,                 2.7977,                 84.461,                 1.4712,                      0,                      0,                      0,                      0,                0.01977,                 131.41,                0.01136,              0.0002624,              0.0002624,              0.0002624
                     14,                 3.1769,                 83.186,                  1.727,                      0,                      0,                      0,                      0,                0.01918,                  131.1,                0.01105,             0.00026201,             0.00026201,             0.00026201
                     15,                 5.3967,                 60.176,                 3.5589,                      0,                      0,                      0,                      0,                0.01856,                 130.59,                0.01072,             0.00025845,             0.00025845,             0.00025845
                     16,                 6.1277,                     54,                 2.8425,                      0,                      0,                      0,                      0,                0.01787,                 129.84,                0.01036,             0.00025172,             0.00025172,             0.00025172
                     17,                 6.0553,                 69.907,                 3.0722,                      0,                      0,                      0,                      0,                0.01713,                    129,                0.00996,             0.00024182,             0.00024182,             0.00024182
                     18,                 5.9119,                 70.324,                 3.2989,                      0,                      0,                      0,                      0,                0.01637,                 127.98,                0.00955,             0.00022876,             0.00022876,             0.00022876
                     19,                 4.0608,                 55.699,                 2.0833,                      0,                      0,                      0,                      0,                 0.0156,                  126.8,                0.00913,             0.00021253,             0.00021253,             0.00021253
                     20,                 5.4434,                 61.568,                 2.6744,                      0,                      0,                      0,                      0,                0.01491,                 125.23,                0.00875,             0.00019313,             0.00019313,             0.00019313
                     21,                 5.3317,                 46.295,                 2.9334,                      0,                      0,                      0,                      0,                0.01426,                 123.41,                 0.0084,             0.00017056,             0.00017056,             0.00017056
                     22,                 4.7954,                 63.556,                 2.1722,                      0,                      0,                      0,                      0,                0.01366,                 121.55,                0.00807,             0.00014482,             0.00014482,             0.00014482
                     23,                 5.0518,                 40.787,                 3.0518,                      0,                      0,                      0,                      0,                0.01308,                 119.73,                0.00775,             0.00011592,             0.00011592,             0.00011592
                     24,                 5.1382,                 53.852,                 2.6166,                      0,                      0,                      0,                      0,                0.01257,                 118.05,                0.00747,             8.3848e-05,             8.3848e-05,             8.3848e-05
                     25,                 4.2053,                 46.924,                 2.0274,                      0,                      0,                      0,                      0,                 0.0121,                 116.39,                0.00721,             4.8608e-05,             4.8608e-05,             4.8608e-05
